mileage,price
12171.0,129900.0
12500.0,364900.0
12800.0,134900.0
13000.0,125000.0
17000.0,129500.0
18500.0,125000.0
18900.0,159900.0
19900.0,149900.0
21000.0,129900.0
23400.0,105000.0
24060.0,102500.0
24100.0,96990.0
25000.0,149000.0
25249.0,365000.0
29400.0,112500.0
29731.0,139999.0
29760.0,365000.0
31513.0,394990.0
32575.0,128575.0
36900.0,140000.0
37000.0,132500.0
40000.0,139000.0
44000.0,117000.0
45300.0,140000.0
46700.0,109900.0
49500.0,99500.0
49928.0,125900.0
50210.0,109950.0
50347.0,109900.0
50900.0,94900.0
52574.0,124975.0
57303.0,299950.0
58850.0,139900.0
60000.0,120000.0
61000.0,133000.0
63100.0,349000.0
67000.0,115900.0
69000.0,149999.0
69000.0,140000.0
79135.0,115000.0
83131.0,255000.0
89900.0,129000.0
92000.0,117500.0
94421.0,99900.0
112470.0,89500.0
112736.0,109575.0
